"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 23 11:38:55 CDT 2023","Tue May 23 11:38:57 CDT 2023","1709","","Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree",""
"passed","Tue May 23 11:37:08 CDT 2023","Tue May 23 11:37:08 CDT 2023","809","","Register Page validation","","User click on register button with valid Username & Password and confirm Password field as blank","","User click on register button with valid Username & Password and confirm Password field as blank",""
"passed","Tue May 23 11:38:00 CDT 2023","Tue May 23 11:38:01 CDT 2023","1217","","Array Page","","User validate PracticeQuestion Array Page","","User validate PracticeQuestion Array Page",""
"passed","Tue May 23 11:39:00 CDT 2023","Tue May 23 11:39:01 CDT 2023","1539","","Graph","","User click on Try Here button and enter valid and invalid python code in tryEditor for Graph","","User click on Try Here button and enter valid and invalid python code in tryEditor for Graph",""
"passed","Tue May 23 11:38:50 CDT 2023","Tue May 23 11:38:51 CDT 2023","1621","","Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree",""
"passed","Tue May 23 11:38:43 CDT 2023","Tue May 23 11:38:44 CDT 2023","1636","","Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree",""
"passed","Tue May 23 11:38:41 CDT 2023","Tue May 23 11:38:43 CDT 2023","1794","","Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree",""
"passed","Tue May 23 11:38:10 CDT 2023","Tue May 23 11:38:12 CDT 2023","1775","","Linked List","","User click on Try Here button and enter valid and invalid python code in tryEditor for LinkedList","","User click on Try Here button and enter valid and invalid python code in tryEditor for LinkedList",""
"passed","Tue May 23 11:36:53 CDT 2023","Tue May 23 11:37:02 CDT 2023","9030","","GetStart Page","","User launch Start page of an dsalgo project","","User launch Start page of an dsalgo project",""
"passed","Tue May 23 11:37:48 CDT 2023","Tue May 23 11:37:49 CDT 2023","579","","Data Structure Intro","","User enter valid and invalid python code in tryEditor","","User enter valid and invalid python code in tryEditor",""
"passed","Tue May 23 11:38:57 CDT 2023","Tue May 23 11:38:58 CDT 2023","762","","Graph","","User navigate to Graph Page for selected Topic and click on Try Here button","","User navigate to Graph Page for selected Topic and click on Try Here button",""
"passed","Tue May 23 11:38:32 CDT 2023","Tue May 23 11:38:33 CDT 2023","259","","Queue","","User navigate back to selected Queue Topic Page and try Practice Question Page","","User navigate back to selected Queue Topic Page and try Practice Question Page",""
"passed","Tue May 23 11:37:23 CDT 2023","Tue May 23 11:37:28 CDT 2023","5377","","SignIn","","User entered invalid login details on Login Page","","User entered invalid login details on Login Page",""
"passed","Tue May 23 11:38:27 CDT 2023","Tue May 23 11:38:29 CDT 2023","1778","","Queue","","User click on Try Here button and enter valid and invalid python code in tryEditor for Queue","","User click on Try Here button and enter valid and invalid python code in tryEditor for Queue",""
"passed","Tue May 23 11:37:15 CDT 2023","Tue May 23 11:37:16 CDT 2023","1192","","Register Page validation","","The user is on Register Page and entered invalid user Details","","The user is on Register Page and entered invalid user Details",""
"passed","Tue May 23 11:37:49 CDT 2023","Tue May 23 11:37:50 CDT 2023","499","","Array Page","","User validate dropbox","","User validate dropbox",""
"passed","Tue May 23 11:38:48 CDT 2023","Tue May 23 11:38:50 CDT 2023","1783","","Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree",""
"passed","Tue May 23 11:38:18 CDT 2023","Tue May 23 11:38:18 CDT 2023","316","","Linked List","","User navigate back to selected LinkedList Topic Page and try Practice Question Page","","User navigate back to selected LinkedList Topic Page and try Practice Question Page",""
"passed","Tue May 23 11:38:37 CDT 2023","Tue May 23 11:38:39 CDT 2023","1728","","Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree",""
"passed","Tue May 23 11:38:53 CDT 2023","Tue May 23 11:38:55 CDT 2023","2279","","Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree",""
"passed","Tue May 23 11:37:50 CDT 2023","Tue May 23 11:37:52 CDT 2023","2401","","Array Page","","User validate ArrayPage","","User validate ArrayPage",""
"passed","Tue May 23 11:37:08 CDT 2023","Tue May 23 11:37:13 CDT 2023","4237","","Register Page validation","","The user is on Register Page and entered invalid user Details","","The user is on Register Page and entered invalid user Details",""
"passed","Tue May 23 11:38:34 CDT 2023","Tue May 23 11:38:35 CDT 2023","1844","","Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree",""
"passed","Tue May 23 11:38:24 CDT 2023","Tue May 23 11:38:25 CDT 2023","294","","Stack","","User navigate back to selected Stack Topic Page and try Practice Question Page","","User navigate back to selected Stack Topic Page and try Practice Question Page",""
"passed","Tue May 23 11:38:46 CDT 2023","Tue May 23 11:38:48 CDT 2023","1791","","Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree",""
"passed","Tue May 23 11:37:16 CDT 2023","Tue May 23 11:37:20 CDT 2023","3134","","Register Page validation","","The user opens Register Page and entered valid user Details","","The user opens Register Page and entered valid user Details",""
"passed","Tue May 23 11:37:49 CDT 2023","Tue May 23 11:37:49 CDT 2023","343","","Data Structure Intro","","User navigate to Data Structure from dropdown and try Practice Question Page","","User navigate to Data Structure from dropdown and try Practice Question Page",""
"passed","Tue May 23 11:38:04 CDT 2023","Tue May 23 11:38:05 CDT 2023","707","","Linked List","","User navigate to Linked List Page for selected Topic","","User navigate to Linked List Page for selected Topic",""
"passed","Tue May 23 11:38:08 CDT 2023","Tue May 23 11:38:10 CDT 2023","1992","","Linked List","","User click on Try Here button and enter valid and invalid python code in tryEditor for LinkedList","","User click on Try Here button and enter valid and invalid python code in tryEditor for LinkedList",""
"passed","Tue May 23 11:38:05 CDT 2023","Tue May 23 11:38:06 CDT 2023","1816","","Linked List","","User click on Try Here button and enter valid and invalid python code in tryEditor for LinkedList","","User click on Try Here button and enter valid and invalid python code in tryEditor for LinkedList",""
"passed","Tue May 23 11:38:14 CDT 2023","Tue May 23 11:38:16 CDT 2023","1815","","Linked List","","User click on Try Here button and enter valid and invalid python code in tryEditor for LinkedList","","User click on Try Here button and enter valid and invalid python code in tryEditor for LinkedList",""
"passed","Tue May 23 11:38:19 CDT 2023","Tue May 23 11:38:21 CDT 2023","1926","","Stack","","User click on Try Here button and enter valid and invalid python code in tryEditor for Stack","","User click on Try Here button and enter valid and invalid python code in tryEditor for Stack",""
"passed","Tue May 23 11:38:58 CDT 2023","Tue May 23 11:39:00 CDT 2023","1565","","Graph","","User click on Try Here button and enter valid and invalid python code in tryEditor for Graph","","User click on Try Here button and enter valid and invalid python code in tryEditor for Graph",""
"passed","Tue May 23 11:37:28 CDT 2023","Tue May 23 11:37:33 CDT 2023","5348","","SignIn","","User entered invalid login details on Login Page","","User entered invalid login details on Login Page",""
"passed","Tue May 23 11:39:01 CDT 2023","Tue May 23 11:39:02 CDT 2023","328","","Graph","","User navigate back to selected Graph Topic Page and try Practice Question Page","","User navigate back to selected Graph Topic Page and try Practice Question Page",""
"passed","Tue May 23 11:37:58 CDT 2023","Tue May 23 11:37:58 CDT 2023","277","","Array Page","","PracticeQuestion Page","","PracticeQuestion Page",""
"passed","Tue May 23 11:38:35 CDT 2023","Tue May 23 11:38:37 CDT 2023","1741","","Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree",""
"passed","Tue May 23 11:38:01 CDT 2023","Tue May 23 11:38:02 CDT 2023","1276","","Array Page","","User validate PracticeQuestion Array Page","","User validate PracticeQuestion Array Page",""
